trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.003, 'e': 0.721083743026607}",25,8,3.422997906382593,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.003, 'e': 0.7189237334319262}",25,0,-71.40773273743997,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.003, 'e': 0.716770194155699}",30,0,-106.7295432946653,"{0: 17, 1: 6, 2: 4, 3: 3, 4: 0}",0
113,False,"{'a': 0.003, 'e': 0.7146231058160573}",20,1,-2.0726785821904596,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.003, 'e': 0.7124824490891918}",20,0,-83.00587386131531,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
115,False,"{'a': 0.003, 'e': 0.7103482047091773}",20,0,-35.952910785107775,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.003, 'e': 0.7082203534678}",30,0,-104.70379512924576,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
117,False,"{'a': 0.003, 'e': 0.7060988762143844}",20,0,3.3725983419986827,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.003, 'e': 0.7039837538556208}",20,9,-19.443804542147706,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.003, 'e': 0.701874967355394}",20,0,-99.85267497636356,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
120,False,"{'a': 0.003, 'e': 0.699772497734611}",25,1,-136.1764672276798,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 2}",1
121,False,"{'a': 0.003, 'e': 0.697676326071031}",20,0,-70.42474250413878,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.003, 'e': 0.6955864334990951}",25,0,-238.92535420610326,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
123,False,"{'a': 0.003, 'e': 0.6935028012097558}",20,7,-92.57151280909001,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 1}",1
124,False,"{'a': 0.003, 'e': 0.6914254104503085}",20,0,-156.51303057218436,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
125,False,"{'a': 0.003, 'e': 0.6893542425242224}",20,0,-152.0156683633719,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
126,False,"{'a': 0.003, 'e': 0.6872892787909722}",20,8,-0.9363072147677247,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.003, 'e': 0.6852305006658703}",20,0,-61.1680649706458,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.003, 'e': 0.6831778896198997}",20,8,-21.077069371228315,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.003, 'e': 0.6811314271795471}",25,6,-93.45628246996766,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
130,False,"{'a': 0.003, 'e': 0.6790910949266368}",20,0,-126.56499418304145,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
131,False,"{'a': 0.003, 'e': 0.6770568744981647}",25,0,-100.42851854576477,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
132,False,"{'a': 0.003, 'e': 0.6750287475861332}",20,12,-40.646147188126236,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.003, 'e': 0.6730066959373864}",20,0,-50.369092099522696,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.003, 'e': 0.6709907013534459}",20,0,-22.40134677699998,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.003, 'e': 0.6689807456903467}",20,3,-40.377033438613886,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
136,False,"{'a': 0.003, 'e': 0.6669768108584744}",35,0,-137.96779132660964,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
137,False,"{'a': 0.003, 'e': 0.6649788788224019}",20,1,-4.711508082749261,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.003, 'e': 0.6629869316007274}",30,0,-18.83832650859139,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.003, 'e': 0.6610009512659124}",25,11,-107.1401235004256,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 3}",1
140,False,"{'a': 0.003, 'e': 0.6590209199441207}",20,0,-135.8906528700835,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
141,False,"{'a': 0.003, 'e': 0.6570468198150567}",25,0,-140.4958212232831,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
142,False,"{'a': 0.003, 'e': 0.6550786331118063}",20,0,-67.21902078503291,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.003, 'e': 0.6531163421206756}",25,18,2.719152187373224,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.003, 'e': 0.6511599291810325}",25,0,-18.527516370880523,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.003, 'e': 0.6492093766851474}",20,8,-77.38648420916162,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.003, 'e': 0.6472646670780347}",25,0,-6.92736795140307,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.003, 'e': 0.6453257828572946}",20,11,-11.2620055478393,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.003, 'e': 0.6433927065729562}",20,0,-92.90501889465544,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
149,False,"{'a': 0.003, 'e': 0.6414654208273198}",30,0,-93.97153176791998,"{0: 17, 1: 6, 2: 5, 3: 2, 4: 0}",0
150,False,"{'a': 0.003, 'e': 0.6395439082748009}",35,2,-13.069319861930547,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.003, 'e': 0.6376281516217733}",25,1,-98.31013870879545,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",1
152,False,"{'a': 0.003, 'e': 0.6357181336264143}",20,0,-74.18738570818041,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
153,False,"{'a': 0.003, 'e': 0.633813837098549}",20,0,-76.92160008605873,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
154,False,"{'a': 0.003, 'e': 0.6319152448994959}",35,9,-102.10096696043469,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 3}",1
155,False,"{'a': 0.003, 'e': 0.6300223399419123}",20,0,-125.50244602208636,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
156,False,"{'a': 0.003, 'e': 0.6281351051896408}",25,8,-71.97946247442195,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
157,False,"{'a': 0.003, 'e': 0.6262535236575559}",35,0,-162.858152627511,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
158,False,"{'a': 0.003, 'e': 0.6243775784114112}",25,15,17.215265531405862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.003, 'e': 0.6225072525676867}",20,0,-112.51721953001194,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",1
160,False,"{'a': 0.003, 'e': 0.6206425292934373}",20,13,-11.242512527870437,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.003, 'e': 0.6187833918061408}",20,8,-46.20154246735895,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.003, 'e': 0.6169298233735474}",20,4,-51.642129293122196,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.003, 'e': 0.6150818073135287}",20,10,-18.560784911505813,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.003, 'e': 0.6132393269939275}",20,0,-57.129696485123596,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
165,False,"{'a': 0.003, 'e': 0.6114023658324087}",25,0,-38.67705365638847,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
166,False,"{'a': 0.003, 'e': 0.6095709072963093}",20,0,-129.6130791681328,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
167,False,"{'a': 0.003, 'e': 0.6077449349024902}",20,8,-10.821689016515773,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.003, 'e': 0.6059244322171875}",30,8,-43.58925421320361,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.003, 'e': 0.6041093828558647}",25,0,-66.81069177284495,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.003, 'e': 0.6022997704830654}",25,0,-21.82717452501021,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",1
171,False,"{'a': 0.003, 'e': 0.6004955788122659}",25,0,-103.06200386675106,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
172,False,"{'a': 0.003, 'e': 0.5986967916057292}",30,0,-130.32198205294415,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
173,False,"{'a': 0.003, 'e': 0.596903392674358}",20,0,-49.74981579015702,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.003, 'e': 0.5951153658775501}",25,0,-16.81412319165792,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
175,False,"{'a': 0.003, 'e': 0.593332695123052}",30,0,-53.59419166121709,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
176,False,"{'a': 0.003, 'e': 0.5915553643668151}",25,0,3.099964542754802,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.003, 'e': 0.5897833576128504}",25,2,-4.894289917303167,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.003, 'e': 0.5880166589130854}",20,0,-82.71416911247685,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 0.003, 'e': 0.5862552523672196}",20,0,-26.78383500074194,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
180,False,"{'a': 0.003, 'e': 0.5844991221225824}",25,0,-62.100021850227556,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
181,False,"{'a': 0.003, 'e': 0.5827482523739896}",25,0,4.893477546445494,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.003, 'e': 0.5810026273636019}",30,22,-8.849017412018714,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.003, 'e': 0.579262231380782}",20,13,4.580523306255495,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
